"title,""jenis_bentuk_peraturan"",""pemrakarsa"",""nomor"",""tahun"",""tentang"",""tempat_penetapan"",""ditetapkan_tanggal"",""pejabat_yang_menetapkan"",""status"",""dokumen_peraturan"",""jumlah_dilihat"",""jumlah_didownload"",""tahun_pengundangan"",""nomor_pengundangan"",""nomor_tambahan"",""tanggal_pengundangan"",""pejabat_pengundangan"""																									
"Peraturan Menteri Sekretariat Negara Nomor 5 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN SEKRETARIAT NEGARA"",""5"",""2024"",""ARSIP KEPRESIDENAN DI LINGKUNGAN KEMENTERIAN SEKRETARIAT NEGARA"",""Jakarta"",""09 Oktober 2024"",""PRATIKNO"",""Berlaku"",""https://peraturan.go.id/files/permensetneg-no-5-tahun-2024.pdf"",""144"",""180"",""2024"",""678"",""5"",""14 Oktober 2024"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Kesehatan Nomor 4 Tahun 2024,""PERATURAN MENTERI"",""KEMENTERIAN KESEHATAN"",""4"",""2024"",""Pencabutan Peraturan Menteri Kesehatan Nomor 77 Tahun 2016 tentang Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis di Lingkungan Kementerian Kesehatan dan Peraturan Menteri Kesehatan Nomor 21 Tahun 2018 tentang Pedoman Tata Kearsipan Dinamis di Lingkungan Kementerian Kesehatan"",""Jakarta"",""22 Maret 2024"",""BUDI G. SADIKIN"",""Berlaku"",""https://peraturan.go.id/files/permenkes-no-4-tahun-2024.pdf"",""750"",""606"",""2024"",""185"",""4"",""02 April 2024"",""ASEP N. MULYANA"""																									
"Peraturan Arsip Nasional Nomor 3 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""3"",""2024"",""Pedoman Penyelenggaraan Pelatihan Kearsipan"",""Jakarta"",""16 Mei 2024"",""IMAM GUNARTO"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-3-tahun-2024.pdf"",""278"",""283"",""2024"",""278"",""3"",""28 Mei 2024"",""ASEP N. MULYANA"""																									
"Peraturan Badan Standardisasi Nasional Nomor 1 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""BADAN STANDARDISASI NASIONAL"",""1"",""2024"",""PENCABUTAN ATAS PERATURAN DI BADAN STANDARDISASI NASIONAL NOMOR 21 TAHUN 2019 TENTANGLINGKUNGAN BADAN STANDARDISASI NASIONAL, DAN PERATURANPELAKSANAAN SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMISSTANDARDISASI NASIONAL NOMOR 19 TAHUN 2019 TENTANG PETUNJUK LINGKUNGAN BADAN STANDARDISASI NASIONAL, PERATURAN BADAN NASIONAL PEDOMAN TENAGA PENGENDALI MUTU STANDAR NASIONAL INDONESIA"",""Jakarta"",""10 Januari 2024"",""KUKUH S. ACHMAD"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bsn-no-1-tahun-2024.pdf"",""30"",""48"",""2024"",""32"",""1"",""16 Januari 2024"",""ASEP N. MULYANA"" NOMOR 7 TAHUN 2018 TENTANG KLASIFIKASI ARSIP DISTANDAR NASIONAL INDONESIA, PERATURAN BADAN STANDARDISASINOMOR 1 TAHUN 2018 TENTANG PEDOMAN TATA CARA PENOMORANKEPALA BADAN STANDARDISASI NASIONAL NOMOR 4 TAHUN 2016 TENTANG PEDOMAN PENULISAN STANDAR NASIONAL INDONESIA, PERATURAN BADAN STANDARDISASI NASIONAL NOMOR 1 TAHUN 2018 TENTANG PEDOMAN TATA CARA PENOMORAN STANDAR NASIONAL INDONESIA SEBAGAIMANA TELAH DIUBAH DENGAN PERATURAN BADAN STANDARDISASI NASIONAL NOMOR 12 TAHUN 2018 TENTANG PERUBAHAN ATAS PERATURAN BADAN STANDARDISASI NASIONAL"																									
"Peraturan Arsip Nasional Nomor 2 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""2"",""2024"",""ORGANISASI DAN TATA KERJA ARSIP NASIONAL REPUBLIK INDONESIA"",""Jakarta"",""02 Februari 2024"",""IMAM GUNARTO"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-2-tahun-2024.pdf"",""41"",""35"",""2024"",""89"",""2"",""12 Februari 2024"",""ASEP N. MULYANA"""																									
"Peraturan Perpustakaan Nasional Nomor 17 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""PERPUSTAKAAN NASIONAL"",""17"",""2024"",""Klasifikasi Arsip Perpustakaan Nasional"",""Jakarta"",""20 Desember 2024"",""E. AMINUDIN AZIZ"",""Berlaku"",""https://peraturan.go.id/files/perpusnas-no-17-tahun-2024.pdf"",""37"",""45"",""2024"",""1057"",""17"",""31 Desember 2024"",""20"""																									
"Peraturan Kepala Badan Pusat Statistik Nomor 1 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""BADAN PUSAT STATISTIK"",""1"",""2024"",""PENYELENGGARAAN KEARSIPAN"",""Jakarta"",""06 Februari 2024"",""AMALIA ADINGGAR WIDYASANTI"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bps-no-1-tahun-2024.pdf"",""225"",""231"",""2024"",""115"",""1"",""20 Februari 2024"",""ASEP N. MULYANA"""																									
"Peraturan Badan Kepegawaian Negara Nomor 6 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""BADAN KEPEGAWAIAN NEGARA"",""6"",""2024"",""PERUBAHAN ATAS  PERATURAN BADAN KEPEGAWAIAN NEGARA NOMOR 1 TAHUN 2022 TENTANG PEDOMAN PENGELOLAAN ARSIP DINAMIS"",""Jakarta"",""11 Desember 2024"",""HARYOMO DWI PUTRANTO"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bkn-no-6-tahun-2024.pdf"",""73"",""54"",""2024"",""1042"",""6"",""31 Desember 2024"",""20"""																									
"Peraturan Badan Pangan Nasional Nomor 3 Tahun 2024,""PERATURAN BADAN/LEMBAGA"",""BADAN PANGAN NASIONAL"",""3"",""2024"",""Sistem Klasifikasi Keamanan Dan Akses Arsip Dinamis  Di Lingkungan Badan Pangan Nasional"",""Jakarta"",""31 Mei 2024"",""ARIEF PRASETYO ADI"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bapanas-no-3-tahun-2024.pdf"",""148"",""117"",""2024"",""295"",""3"",""04 Juni 2024"",""ASEP N. MULYANA"""																									
"Peraturan Daerah Kota Semarang Nomor 6 Tahun 2024,""PERATURAN DAERAH"",""KOTA SEMARANG"",""6"",""2024"",""PENYELENGGARAAN KEARSIPAN"",""Jakarta"",""16 Agustus 2024"",""HEVEARITA GUNARYANTI RAHAYU"",""Berlaku"",""https://peraturan.go.id/files/perda-kota-semarang-no-6-tahun-2024.pdf"",""292"",""160"","""","""",""6"","""","""""																									
"Peraturan Daerah Provinsi Lampung Nomor 2 Tahun 2024,""PERATURAN DAERAH"",""PROVINSI LAMPUNG"",""2"",""2024"",""Penyelenggaraan Perpustakan dan Arsip Elektronik"",""Lampung"",""10 Januari 2024"",""ARINAL DJUNAIDI"",""Berlaku"",""https://peraturan.go.id/files/perda-provinsi-lampung-no-2-tahun-2024.pdf"",""227"",""129"","""","""",""2"","""","""""																									
"Peraturan Presiden Nomor 23 Tahun 2023,""PERATURAN PRESIDEN"",""PEMERINTAH PUSAT"",""23"",""2023"",""ARSIP NASIONAL REPUBL]K INDONESIA"",""Jakarta"",""17 April 2023"",""JOKO WIDODO"",""Berlaku"",""https://peraturan.go.id/files/perpres-no-23-tahun-2023.pdf"",""1407"",""872"","""","""",""23"","""","""""																									
"Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 2 Tahun 2023,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""2"",""2023"",""KLASIFIKASI ARSIP DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""Jakarta"",""04 Mei 2023"",""MUHADJIR EFFENDY"",""Berlaku"",""https://peraturan.go.id/files/permenko-pmk-no-2-tahun-2023.pdf"",""2685"",""822"",""2023"",""366"",""2"",""04 Mei 2023"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Koperasi, Usaha Kecil dan Menengah  Nomor 11 Tahun 2023,""PERATURAN MENTERI"",""KEMENTERIAN KOPERASI, USAHA KECIL DAN MENENGAH"",""11"",""2023"",""JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN KOPERASI DAN USAHA KECIL DAN MENENGAH"",""Jakarta"",""11 September 2023"",""TETEN MASDUKI"",""Berlaku"",""https://peraturan.go.id/files/permenkop-kukm-no-11-tahun-2023.pdf"",""983"",""894"",""2023"",""733"",""11"",""14 September 2023"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Luar Negeri Nomor 6 Tahun 2023,""PERATURAN MENTERI"",""KEMENTERIAN LUAR NEGERI"",""6"",""2023"",""PROGRAM ARSIP VITAL KEMENTERIAN LUAR NEGERI DAN PERWAKILAN REPUBLIK INDONESIA"",""Jakarta"",""19 Juni 2023"",""RETNO L. P. MARSUDI"",""Berlaku"",""https://peraturan.go.id/files/permenlu-no-6-tahun-2023.pdf"",""803"",""773"",""2023"",""491"",""6"",""27 Juni 2023"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 4 Tahun 2023,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""4"",""2023"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""Jakarta"",""04 Mei 2023"",""MUHADJIR EFFENDY"",""Berlaku"",""https://peraturan.go.id/files/permenko-pmk-no-4-tahun-2023.pdf"",""791"",""517"",""2023"",""368"",""4"",""05 Mei 2023"",""ASEP N. MULYANA"""																									
"Peraturan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Nomor 3 Tahun 2023,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""3"",""2023"",""JADWAL RETENSI ARSIP DI LINGKUNGAN KEMENTERIAN KOORDINATOR BIDANG PEMBANGUNAN MANUSIA DAN KEBUDAYAAN"",""Jakarta"",""04 Mei 2023"",""MUHADJIR EFFENDY"",""Berlaku"",""https://peraturan.go.id/files/permenko-pmk-no-3-tahun-2023.pdf"",""853"",""560"",""2023"",""367"",""3"",""04 Mei 2023"",""ASEP N. MULYANA"""																									
"Peraturan Arsip Nasional Nomor 1 Tahun 2023,""PERATURAN BADAN/LEMBAGA"",""ARSIP NASIONAL"",""1"",""2023"",""PEDOMAN AUTENTIKASI ARSIP STATIS"",""Jakarta"",""11 April 2023"",""IMAM GUNARTO"",""Berlaku"",""https://peraturan.go.id/files/peraturan-anri-no-1-tahun-2023.pdf"",""4841"",""1700"",""2023"",""376"",""1"",""09 Mei 2023"",""ASEP N. MULYANA"""																									
"Peraturan Komisi Pemilihan Umum Nomor 17 Tahun 2023,""PERATURAN BADAN/LEMBAGA"",""KOMISI PEMILIHAN UMUM"",""17"",""2023"",""JADWAL RETENSI ARSIP KOMISI PEMILIHAN UMUM, KOMISI PEMILIHAN UMUM PROVINSI, DAN KOMISI PEMILIHAN UMUM KABUPATEN/KOTA"",""Jakarta"",""30 Agustus 2023"",""HASYIM ASY’ARI"",""Berlaku"",""https://peraturan.go.id/files/peraturan-kpu-no-17-tahun-2023.pdf"",""802"",""661"",""2023"",""684"",""17"",""31 Agustus 2023"",""ASEP N. MULYANA"""																									
"Peraturan Badan Nasional Pengelola Perbatasan Nomor 1 Tahun 2023,""PERATURAN BADAN/LEMBAGA"",""BADAN NASIONAL PENGELOLA PERBATASAN"",""1"",""2023"",""PENYELENGGARAAN KEARSIPAN DI LINGKUNGAN SEKRETARIAT TETAP BADAN NASIONAL PENGELOLA PERBATASAN"",""Jakarta"",""17 April 2023"",""MUHAMMAD TITO KARNAVIAN"",""Berlaku"",""https://peraturan.go.id/files/peraturan-bnpp-no-1-tahun-2023.pdf"",""680"",""385"",""2023"",""344"",""1"",""18 April 2023"",""ASEP N. MULYANA"""																									
"Peraturan Daerah Kabupaten Padang Pariaman Nomor 1 Tahun 2023,""PERATURAN DAERAH"",""KABUPATEN PADANG PARIAMAN"",""1"",""2023"",""Penyelenggaraan Kearsipan"",""Parit Malintang"",""24 Maret 2023"",""SUHATRI BUR"",""Berlaku"",""https://peraturan.go.id/files/perda-kabupaten-padang-pariaman-no-1-tahun-2023.pdf"",""726"",""702"","""","""",""1"","""","""""																									
"Peraturan Daerah Provinsi Jambi Nomor 8 Tahun 2023,""PERATURAN DAERAH"",""PROVINSI JAMBI"",""8"",""2023"",""PENYELENGGARAAN KEARSIPAN"",""Jambi"",""04 Juli 2023"",""H. AL HARIS"",""Berlaku"",""https://peraturan.go.id/files/perda-provinsi-jambi-no-8-tahun-2023.pdf"",""255"",""247"","""","""",""8"","""","""""																									
"Peraturan Daerah Kabupaten Pamekasan Nomor 1 Tahun 2023,""PERATURAN DAERAH"",""KABUPATEN PAMEKASAN"",""1"",""2023"",""PENYELENGGARAAN KEARSIPAN"",""Pamekasan"",""15 Februari 2023"",""BADDRUT TAMAM"",""Berlaku"",""https://peraturan.go.idundefined"",""615"",""4"","""","""",""1"","""","""""																									
"Peraturan Badan Pengawas Obat dan Makanan Nomor 6 Tahun 2023,""PERATURAN BADAN/LEMBAGA"",""BADAN PENGAWAS OBAT DAN MAKANAN"",""6"",""2023"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN BADAN PENGAWAS OBAT DAN MAKANAN"",""Jakarta"",""01 Maret 2023"",""PENNY K. LUKITO"",""Berlaku"",""https://peraturan.go.id/files/Peraturan+BPOM-no-6-tahun-2023.pdf"",""871"",""320"",""2023"",""213"",""6"",""03 Maret 2023"",""YASONNA H. LAOLY"""																									
"Peraturan Menteri Koordinator Bidang Kemaritiman dan Investasi  Nomor 1 Tahun 2022,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI"",""1"",""2022"",""SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI"",""Jakarta"",""10 Maret 2022"","""",""Berlaku"",""https://peraturan.go.id/files/bn275-2022.pdf"",""5470"",""459"",""2022"",""275"",""1"",""14 Maret 2022"","""""																									
"Peraturan Menteri Sosial Nomor 5 Tahun 2022,""PERATURAN MENTERI"",""KEMENTERIAN SOSIAL"",""5"",""2022"",""PENGELOLAAN ARSIP DINAMIS, KLASIFIKASI ARSIP, JADWAL RETENSI ARSIP, SERTA SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS DI LINGKUNGAN KEMENTERIAN SOSIAL"",""Jakarta"",""14 Juni 2022"","""",""Berlaku"",""https://peraturan.go.id/files/bn603-2022.pdf"",""9948"",""700"",""2022"",""603"",""5"",""16 Juni 2022"","""""																									
"Peraturan Menteri Koordinator Bidang Kemaritiman dan Investasi  Nomor 2 Tahun 2022,""PERATURAN MENTERI"",""KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI"",""2"",""2022"",""JADWAL RETENSI ARSIP KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI"",""Jakarta"",""10 Maret 2022"","""",""Berlaku"",""https://peraturan.go.id/files/bn276-2022.pdf"",""2351"",""528"",""2022"",""276"",""2"",""14 Maret 2022"","""""																									
"Peraturan Menteri Luar Negeri Nomor 3 Tahun 2022,""PERATURAN MENTERI"",""KEMENTERIAN LUAR NEGERI"",""3"",""2022"",""JADWAL RETENSI ARSIP KEMENTERIAN LUAR NEGERI DAN PERWAKILAN REPUBLIK INDONESIA"",""Jakarta"",""06 Januari 2022"","""",""Berlaku"",""https://peraturan.go.id/files/bn38-2022.pdf"",""10509"",""610"",""2022"",""38"",""3"",""17 Januari 2022"","""""																									
